nombre,email,account_id,usuario_id,password,pais,Location,AccountBalance,bloqueada,created_at,to_acount,registered_at,last_login
juan sergio perez,juen.seguero@mail.com,16308e99-1399-4a3f-b0cd-19fc3e13715c,24589042657842000000,MuyS3gur0,MX,"{""lat"":23.6345,""lon"":-102.5528}",25345,false,2025-05-18T19:23:13.440097,1b56dcdf-9edc-46aa-b4ab-456ce65fe2c4,2025-05-18T19:22:29.918641,2025-05-18T20:42:56.359392
ana sofía martínez,ana.mtz@mail.com,f7a9b031-341b-4a0d-92de-9c2c0ebf1319,24589042657842000001,Contras3na#2024,MX,"{""lat"":19.4326,""lon"":-99.1332}",18400,false,2025-05-18T12:15:03.120391,d5f1cc8c-b02c-4135-b7bc-b06e3fd88c25,2025-05-18T11:59:20.581043,2025-05-18T18:02:14.983725
carlos iván garza,carlos.garza@mail.com,07c15d47-0bd0-4d17-a41f-9fc939b2e812,24589042657842000002,P@ssword123,MX,"{""lat"":25.6866,""lon"":-100.3161}",32500,false,2025-05-18T13:47:56.299032,9cd03b35-165c-4539-964a-6a5d4b63ff1f,2025-05-18T13:42:30.390821,2025-05-18T19:45:23.192038
maría guadalupe rodríguez,maria.gua@mail.com,bd48a685-0c62-4e13-9024-63dc60765d02,24589042657842000003,R0driguez2025!,MX,"{""lat"":20.6597,""lon"":-103.3496}",27350,false,2025-05-18T09:24:44.834019,0b3fdf9a-4b2e-4e17-b847-5c89ac3b9a80,2025-05-18T08:45:50.304021,2025-05-18T14:00:13.001234
josé luis ramírez,jose.ramirez@mail.com,e281346e-68f6-4642-b1c3-e1e3db0d1c9b,24589042657842000004,S3gur0$2025,MX,"{""lat"":21.1619,""lon"":-86.8515}",19870,false,2025-05-18T08:12:32.123042,acdf2a99-7e5d-4be1-a0fd-2f66c6891f4c,2025-05-18T07:50:24.548291,2025-05-18T17:29:44.738290
diana paola salazar,diana.salazar@mail.com,50c2f84c-bb92-47a3-bb48-dfea4bb244d6,24589042657842000005,Paola$ecure2025,MX,"{""lat"":20.9667,""lon"":-89.6167}",30950,false,2025-05-18T11:03:19.083001,31e57451-4987-460b-9875-372ea9ef3e0f,2025-05-18T10:56:30.928391,2025-05-18T15:35:11.384028
fernando reyes,fernando.reyes@mail.com,b61c0f3e-c0f8-46c6-a0fc-d13f4e0c1422,24589042657842000006,Rey3sPwd2025,MX,"{""lat"":19.0414,""lon"":-98.2063}",27410,false,2025-05-18T14:24:45.112391,48d4df14-1f40-4550-bfa9-8e8c1ec6be2d,2025-05-18T14:00:00.200001,2025-05-18T21:13:59.823134
alejandra luna,ale.luna@mail.com,9b3ec4a1-f658-41d5-87b0-f27a6b87d0f4,24589042657842000007,LuN@Secure25,MX,"{""lat"":22.1565,""lon"":-100.9855}",18930,false,2025-05-18T15:40:01.903271,a185e577-86c4-4aef-985f-f7b8e2456a91,2025-05-18T15:29:45.114312,2025-05-18T20:03:42.492003
ricardo morales,ricardo.morales@mail.com,45634270-f33f-46b8-8126-5c8e0fca3096,24589042657842000008,Ric4rdoSafe,MX,"{""lat"":24.0277,""lon"":-104.6532}",24100,false,2025-05-18T16:22:10.222389,bb498888-3ff7-466e-a4c2-2fda84645d84,2025-05-18T16:00:29.013280,2025-05-18T22:11:13.138044
karla ruiz,karla.ruiz@mail.com,23f837f9-99ec-4dd5-91a1-6145edab81b6,24589042657842000009,K@rlita2025!,MX,"{""lat"":17.0732,""lon"":-96.7266}",26580,false,2025-05-18T10:05:30.231001,e01cd25c-417a-41d4-b51e-3f2b832b99f6,2025-05-18T09:55:43.215213,2025-05-18T20:32:42.395784
sergio valdez,sergio.valdez@mail.com,c7b97f60-d0cc-4cb4-9d5e-4f839d30dfd1,24589042657842000010,Vald3zC0ntra,MX,"{""lat"":27.5064,""lon"":-99.5075}",33000,false,2025-05-18T17:11:58.100293,56f37f18-1b7f-4b5e-8ff5-320850a3d38c,2025-05-18T16:52:29.481011,2025-05-18T21:00:19.920211
claudia torres,claudia.torres@mail.com,31cb37b7-c78b-4f4d-b3e3-2c8dc032b46c,24589042657842000011,C!audiaTorres25,MX,"{""lat"":18.5001,""lon"":-88.2961}",21090,false,2025-05-18T13:00:01.204590,a25d646b-4869-4a5c-9646-07c63e6904f1,2025-05-18T12:30:32.928419,2025-05-18T19:33:04.502948
miguel ángel castro,miguel.castro@mail.com,eec0c380-9eb1-4de9-9c64-2b3b810f1db2,24589042657842000012,C4str0Pwd!,MX,"{""lat"":28.6353,""lon"":-106.0889}",22000,false,2025-05-18T11:59:33.003839,f14f218f-49d4-44f1-bbb1-cb709bbaab79,2025-05-18T11:50:20.203918,2025-05-18T18:40:03.021984
rebecca navarro,rebecca.navarro@mail.com,509f58de-fce1-49c4-b999-1e377e53914e,24589042657842000013,Navarro2025#,MX,"{""lat"":19.2922,""lon"":-99.6532}",24850,false,2025-05-18T12:30:45.909190,29de3aa2-5740-4d6e-94b0-73858f93de88,2025-05-18T12:21:59.419330,2025-05-18T20:11:14.094390
luis alberto salinas,luis.salinas@mail.com,bc50c109-e0d1-4b9b-a82b-209a13f18261,24589042657842000014,S@linasL2025,MX,"{""lat"":25.5439,""lon"":-103.4187}",29500,false,2025-05-18T14:13:02.390318,9aa14853-7a1e-4634-bb19-54233c0975d2,2025-05-18T13:55:14.193821,2025-05-18T22:01:58.234843
